Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_0.txt,2,0.00813,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_1.txt,4,0.00711,0 1 11 29 48 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_10.txt,3,0.01132,0 16 19 34 54 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_11.txt,0,0.00641,0 1 16 29 42 45 66 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_12.txt,0,0.00520,0 4 15 29 42 49 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_13.txt,2,0.00711,0 4 17 29 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_14.txt,2,0.00549,0 18 29 42 45 66 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_15.txt,1,0.00577,0 18 40 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_16.txt,2,0.01021,0 18 28 47 51 64 71 73 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_17.txt,1,0.00565,0 18 23 33 47 66 84 95 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_18.txt,1,0.00656,0 4 27 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_19.txt,1,0.00481,0 1 10 35 56 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_2.txt,0,0.00733,0 1 10 13 38 63 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_20.txt,3,0.00757,0 16 24 26 28 35 56 63 72 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_21.txt,1,0.00662,0 4 28 45 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_22.txt,1,0.00356,0 4 15 29 48 61 86 99 
