Instance,OptCost,Duration,Solution
Zhu_Wilhelm_Testbed.n100e959c15.rcsp4.txt,2,0.00818,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_Testbed.n100e959c17.rcsp3.txt,2,0.00812,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_Testbed.n100e999c24.rcsp8.txt,14,0.01346,0 22 44 68 85 99 
Zhu_Wilhelm_Testbed.n100e999c27.rcsp7.txt,6,0.01815,0 13 31 43 60 74 99 
Zhu_Wilhelm_Testbed.n200e1960c19.rcsp16.txt,17,0.02125,0 34 79 126 167 199 
Zhu_Wilhelm_Testbed.n200e1960c22.rcsp15.txt,9,0.02718,0 34 62 108 158 199 
Zhu_Wilhelm_Testbed.n200e1971c24.rcsp12.txt,6,0.00938,0 9 32 62 111 118 165 199 
Zhu_Wilhelm_Testbed.n200e1971c27.rcsp11.txt,6,0.01115,0 9 32 62 111 118 165 199 
Zhu_Wilhelm_Testbed.n500e4868c25.rcsp24.txt,5,0.07691,0 27 147 269 389 499 
Zhu_Wilhelm_Testbed.n500e4868c28.rcsp23.txt,4,0.13337,0 27 141 237 347 454 499 
Zhu_Wilhelm_Testbed.n500e4978c19.rcsp20.txt,6,0.02338,0 110 145 204 327 336 409 443 499 
Zhu_Wilhelm_Testbed.n500e4978c22.rcsp19.txt,6,0.02877,0 13 112 166 215 325 354 440 499 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_0.txt,2,0.00994,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_1.txt,4,0.01866,0 1 11 29 48 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_10.txt,3,0.02202,0 16 19 34 54 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_11.txt,0,0.00872,0 1 16 29 42 45 66 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_12.txt,0,0.00763,0 4 15 29 42 49 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_13.txt,2,0.01239,0 4 17 29 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_14.txt,2,0.00530,0 18 29 42 45 66 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_15.txt,1,0.03315,0 18 40 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_16.txt,2,0.01086,0 18 28 47 51 64 71 73 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_17.txt,1,0.00995,0 18 23 33 47 66 84 95 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_18.txt,1,0.00844,0 4 27 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_19.txt,1,0.00425,0 1 10 35 56 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_2.txt,0,0.00600,0 1 10 13 38 63 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_20.txt,3,0.00935,0 16 24 26 28 35 56 63 72 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_21.txt,1,0.01195,0 4 28 45 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_22.txt,1,0.00843,0 4 15 29 48 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_23.txt,1,0.00718,0 14 38 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_24.txt,1,0.02368,0 16 32 54 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_25.txt,1,0.00959,0 18 43 52 74 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_26.txt,3,0.01218,0 4 20 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_27.txt,1,0.01826,0 18 43 52 74 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_28.txt,3,0.01649,0 4 19 40 62 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_29.txt,4,0.00651,0 4 22 47 69 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_3.txt,3,0.00643,0 1 9 23 35 36 47 69 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_30.txt,2,0.00685,0 18 28 31 49 69 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_31.txt,2,0.00579,0 14 38 60 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_32.txt,2,0.00894,0 1 11 29 48 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_33.txt,2,0.00922,0 1 9 28 47 48 51 64 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_34.txt,1,0.00191,0 1 13 30 45 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_35.txt,1,0.00786,0 18 27 36 43 52 56 79 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_36.txt,2,0.00361,0 16 29 41 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_37.txt,1,0.00517,0 1 9 23 35 36 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_38.txt,4,0.00398,0 1 26 42 45 69 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_39.txt,2,0.00679,0 4 28 35 56 63 64 79 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_4.txt,2,0.00400,0 18 21 33 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_40.txt,1,0.00335,0 4 22 45 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_41.txt,2,0.00286,0 18 30 47 69 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_42.txt,1,0.00366,0 4 25 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_43.txt,1,0.00213,0 1 4 15 38 60 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_44.txt,2,0.00214,0 1 11 35 56 70 91 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_45.txt,3,0.00417,0 14 24 38 52 59 84 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_46.txt,3,0.00824,0 1 10 35 56 72 77 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_47.txt,0,0.00663,0 18 21 22 46 69 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_48.txt,0,0.00400,0 4 15 38 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_49.txt,1,0.00380,0 18 29 54 68 80 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_5.txt,1,0.00510,0 4 19 29 52 56 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_50.txt,2,0.00944,0 4 25 38 63 80 81 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_51.txt,4,0.00653,0 1 16 29 54 68 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_52.txt,1,0.00703,0 18 23 35 47 51 61 79 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_53.txt,3,0.00369,0 4 15 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_54.txt,4,0.00591,0 4 28 47 48 70 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_55.txt,2,0.00431,0 18 21 45 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_56.txt,2,0.00450,0 1 9 28 47 66 89 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_57.txt,4,0.00544,0 18 27 36 41 60 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_58.txt,1,0.00257,0 18 21 34 52 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_59.txt,2,0.00501,0 18 21 28 35 56 70 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_6.txt,2,0.00331,0 1 13 36 53 59 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_60.txt,2,0.00411,0 14 29 48 59 70 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_61.txt,2,0.00326,0 16 26 40 49 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_62.txt,3,0.00498,0 18 23 48 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_63.txt,1,0.00518,0 14 31 41 54 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_64.txt,2,0.00472,0 14 24 26 42 63 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_65.txt,1,0.00599,0 1 13 33 55 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_66.txt,3,0.01357,0 16 26 42 45 53 62 73 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_67.txt,1,0.00222,0 18 40 60 68 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_68.txt,5,0.00491,0 1 10 13 27 50 73 83 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_69.txt,1,0.00644,0 1 13 38 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_7.txt,3,0.00601,0 4 26 29 48 65 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_70.txt,0,0.00589,0 4 15 38 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_71.txt,2,0.00449,0 16 37 51 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_72.txt,1,0.01119,0 14 39 50 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_73.txt,3,0.00635,0 18 21 41 63 64 87 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_74.txt,2,0.00385,0 4 22 27 50 51 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_75.txt,1,0.00987,0 16 31 41 62 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_76.txt,3,0.00587,0 18 23 42 66 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_77.txt,1,0.00793,0 14 38 60 85 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_78.txt,2,0.00451,0 4 6 13 36 53 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_79.txt,3,0.00753,0 18 21 24 49 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_8.txt,3,0.00543,0 16 37 60 85 92 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_80.txt,2,0.00401,0 18 21 24 46 59 64 89 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_81.txt,2,0.00439,0 16 26 28 35 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_82.txt,3,0.00967,0 1 10 13 14 38 60 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_83.txt,1,0.00693,0 4 15 22 47 69 80 81 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_84.txt,1,0.02200,0 18 40 62 72 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_85.txt,3,0.00306,0 4 27 47 66 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_86.txt,0,0.00577,0 14 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_87.txt,1,0.00244,0 4 19 31 53 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_88.txt,4,0.00618,0 4 19 40 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_89.txt,2,0.00898,0 18 27 50 58 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_9.txt,4,0.00298,0 14 27 34 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_90.txt,5,0.00843,0 14 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_91.txt,3,0.00611,0 1 25 38 60 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_92.txt,2,0.00334,0 18 28 34 54 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_93.txt,3,0.00892,0 16 29 52 56 66 84 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_94.txt,2,0.00590,0 14 38 48 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_95.txt,6,0.01452,0 4 28 35 56 67 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_96.txt,1,0.00619,0 4 25 38 50 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_97.txt,2,0.00596,0 4 22 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_98.txt,2,0.00637,0 18 27 36 60 76 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_99.txt,4,0.00581,0 1 4 19 29 42 63 64 89 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_0.txt,2,0.00915,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_1.txt,2,0.00757,0 1 11 29 48 68 80 86 99 
