Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_0.txt,2,0.00948,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_1.txt,3,0.00470,0 1 7 11 29 48 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_10.txt,3,0.03784,0 16 19 34 54 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_11.txt,0,0.02675,0 1 16 29 42 45 66 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_12.txt,0,0.00963,0 4 15 29 42 49 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_13.txt,2,0.00505,0 4 17 29 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_14.txt,2,0.00532,0 18 29 42 45 66 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_15.txt,1,0.00604,0 18 40 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_16.txt,2,0.00470,0 18 28 47 51 64 71 73 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_17.txt,1,0.00729,0 18 23 33 47 66 84 95 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_18.txt,1,0.02046,0 4 27 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_19.txt,1,0.00234,0 1 10 35 56 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_2.txt,0,0.00358,0 1 10 13 38 63 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_20.txt,3,0.00453,0 16 24 26 28 35 56 63 72 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_21.txt,1,0.00239,0 4 28 45 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_22.txt,1,0.00200,0 4 15 29 48 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_23.txt,1,0.00325,0 14 38 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_24.txt,1,0.00459,0 16 32 54 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_25.txt,1,0.00556,0 18 43 52 74 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_26.txt,3,0.00523,0 4 20 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_27.txt,1,0.00540,0 18 43 52 74 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_28.txt,3,0.00521,0 4 19 40 62 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_29.txt,4,0.00313,0 4 22 47 69 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_3.txt,3,0.00229,0 1 9 23 35 36 47 69 83 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_30.txt,2,0.00238,0 18 28 31 49 69 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_31.txt,2,0.00338,0 14 38 60 84 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_32.txt,2,0.00215,0 1 11 29 48 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_33.txt,2,0.00387,0 1 9 28 47 48 51 64 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_34.txt,1,0.00179,0 1 13 30 45 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_35.txt,1,0.00527,0 18 27 36 43 52 56 79 96 99 
